geoid,name,year,total_est,total_se
01000US,United States,2009,36915155,75386.016
01000US,United States,2010,34669616,80504.563
01000US,United States,2011,34520547,85947.109
01000US,United States,2012,34148645,79585.414
01000US,United States,2013,33348049,77517.93
01000US,United States,2014,33147639,68778.117
01000US,United States,2015,32713324,71780.547
01000US,United States,2016,32304175,68473.555
01000US,United States,2017,31479232,76814.586
